Number|Title|Author|InternetAddress|Rating|In stock|Comments|Publisher|Date of publication|ISBN|PullOut
1|RHS Dictionary of Plants plus Supplement. 1956|F. Chittendon.||3|1|Comprehensive listing of species and how to grow them. Somewhat outdated, it has been replaces in 1992 by a new dictionary (see [200]).|Oxford University Press|1951|-|0
2|Sturtevant's Edible Plants of the World.|Hedrick. U. P.||3|1|Lots of entries, quite a lot of information in most entries and references.|Dover Publications|1972|0-486-20459-6|1
3|Growing Unusual Fruit.|Simmons. A. E.||3|1|A very readable book with information on about 100 species that can be grown in Britain (some in greenhouses) and details on how to grow and use them.|David and Charles|1972|0-7153-5531-7|0
4|A Modern Herbal.|Grieve.||4|1|Not so modern (1930's?) but lots of information, mainly temperate plants.|Penguin|1984|0-14-046-440-9|1
5|Food for Free.|Mabey. R.||2|1|Edible wild plants found in Britain. Fairly comprehensive, very few pictures and rather optimistic on the desirability of some of the plants.|Collins|1974|0-00-219060-5|0
6|Plants with a Purpose.|Mabey. R.||4|1|Details on some of the useful wild plants of Britain. Poor on pictures but otherwise very good.|Fontana|1979|0-00-635555-2|0
7|Encyclopaedia of Medicinal Plants.|Chiej. R.||4|1|Covers plants growing in Europe. Also gives other interesting information on the plants. Good photographs.|MacDonald|1984|0-356-10541-5|1
8|Free for All.|Ceres.||2|1|Edible wild plants in Britain. Small booklet, nothing special.|Thorsons Publishers|1977|0-7225-0445-4|0
9|Edible and Medicinal Plants.|Launert. E.||4|1|Covers plants in Europe. a drawing of each plant, quite a bit of interesting information.|Hamlyn|1981|0-600-37216-2|0
10|Poisonous Plants and Animals.|Altmann. H.||2|1|A small book, reasonable but not very detailed.|Chatto and Windus|1980|0-7011-2526-8|0
11|Trees and Shrubs Hardy in Great Britain. Vol 1 - 4 and Supplement.|Bean. W.||5|1|A classic with a wealth of information on the plants, but poor on pictures.|Murray|1981|-|1
12|Britain's Wild Larder.|Loewenfeld. C. and Back. P.||3|1|A handy pocket guide.|David and Charles||0-7153-7971-2|0
13|Hamlyn Encyclopaedia of Plants.|Triska. Dr.||2|1|Very interesting reading, giving some details of plant uses and quite a lot of folk-lore.|Hamlyn|1975|0-600-33545-3|0
14|Complete Guide to Herbs.|Holtom. J. and Hylton. W.||3|1|A good herbal.|Rodale Press|1979|0-87857-262-7|0
15|Edible Ornamental Garden.|Bryan. J. and Castle. C.||2|1|A small book with interesting ideas for edible plants in the ornamental garden.|Pitman Publishing|1976|0-273-00098-5|0
16|New Vegetable Growers Handbook.|Simons.||3|1|A good guide to growing vegetables in temperate areas, not entirely organic.|Penguin|1977|0-14-046-050-0|0
17|Flora of the British Isles.|Clapham, Tootin and Warburg.||5|1|A very comprehensive flora, the standard reference book but it has no pictures.|Cambridge University Press|1962|-|0
18|Companion Plants.|Philbrick H. and Gregg R. B.||3|1|Details of beneficial and antagonistic relationships between neighbouring plants.|Watkins|1979|-|0
19|Poisonous Plants.|Stary. F.||2|1|Not very comprehensive, but easy reading.|Hamlyn|1983|0-600-35666-3|0
20|Companion Planting for Successful Gardening.|Riotte. L.||3|1|Fairly good.|Garden Way, Vermont, USA.|1978|0-88266-064-0|0
21|The Herb Book.|Lust. J.||4|1|Lots of information tightly crammed into a fairly small book.|Bantam books|1983|0-553-23827-2|0
22|Alternative Foods.|Sholto-Douglas. J.||2|0|Not very comprehensive, it seems more or less like a copy of earlier writings with little added.||||0
23|Complete Book of Baskets and Basketry.|Wright. D.||4|1|Not that complete but very readable and well illustrated.|David and Charles|1977|0-7153-7449-4|0
24|Making a Wildlife Garden.|Baines. C.||3|1|Fairly good with lots of ideas about creating wildlife areas in the garden.||||0
25|Bamboos.|Lawson.||3|0|Fairly comprehensive, it was once the standard work but is now rather dated. Deals with species hardy in Britain, giving cultivation details and some uses.|Faber|1968|-|0
26|Comfrey Report.|Hills. L.||3|1| A small booklet giving a fairly comprehensive guide to the uses of comfrey.|Henry Doubleday Research Ass.|||0
27|The Vegetable Garden.|Vilmorin. A.||2|1|A reprint of a nineteenth century classic, giving details of vegetable varieties. Not really that informative though.|Ten Speed Press||0-89815-041-8|0
